Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Robert Webb,https://en.wikipedia.org/wiki/Robert_Webb,Comedy panel game regulars,1972,,25239,53.0,Male,"Boston, Lincolnshire",52.9776561,-0.0237985,174.1
Robin Ince,https://en.wikipedia.org/wiki/Robin_Ince,Stand-up comedians,1969,,13054,56.0,Male,Robin Ince,,,
Robin Ray,https://en.wikipedia.org/wiki/Robin_Ray,Comedy panel game regulars,,,12239,,Male,"Fulham, London, England",51.4808834,-0.1943493,11.37
Rogan Whitenails,https://en.wikipedia.org/wiki/Rogan_Whitenails,Poets with a comedic bent,,,1666,,Male,"Rogan Whitenails (born Martyn Sutton;  in Chester, UK) is a British poet, fabulist and barotermatismophobia sufferer.",,,
Roger McGough,https://en.wikipedia.org/wiki/Roger_McGough,Poets with a comedic bent,,,15547,,Male,"Litherland, Lancashire",53.8494767,-3.0261266,325.72
Roisin Conaty,https://en.wikipedia.org/wiki/Roisin_Conaty,Stand-up comedians,1979,,6168,46.0,Female,"Camden, London, England",51.5394397,-0.1426957,18.28
Romesh Ranganathan,https://en.wikipedia.org/wiki/Romesh_Ranganathan,Stand-up comedians,1978,,16631,47.0,Male,"Crawley, West Sussex",51.1103444,-0.1801094,36.48
Ronni Ancona,https://en.wikipedia.org/wiki/Ronni_Ancona,Impressionists,1966,,16028,59.0,Female,"Louth, Lincolnshire",53.3675163,-0.0022381,217.37
Ronnie Barker,https://en.wikipedia.org/wiki/Ronnie_Barker,Comedy double acts,,,45302,,Male,"Bedford, Bedfordshire",52.0640034,-0.4111138,71.38
Ronnie Corbett,https://en.wikipedia.org/wiki/Ronnie_Corbett,Comedy double acts,,,16233,,Male,"Ronald Balfour CorbettEdinburgh, Scotland",,,
Rory Bremner,https://en.wikipedia.org/wiki/Rory_Bremner,Comedy panel game regulars,1961,,12395,64.0,Male,"Edinburgh, Scotland",55.9533456,-3.1883749,538.15
Rory McGrath,https://en.wikipedia.org/wiki/Rory_McGrath,Comedy panel game regulars,,,8044,,Male,"Redruth, England",50.233989,-5.2276468,369.47
Rosie Holt,https://en.wikipedia.org/wiki/Rosie_Holt,Satirists,,,5340,,Female,July,-15.638786,34.704887,8170.18
Rosie Jones,https://en.wikipedia.org/wiki/Rosie_Jones_(comedian),Comedy panel game regulars,,,18365,,Female,"Bridlington, Humberside",,,
Ross Noble,https://en.wikipedia.org/wiki/Ross_Noble,Stand-up comedians,1976,,29920,49.0,Male,Newcastle upon Tyne,54.9738474,-1.6131572,404.19
Rowan Atkinson,https://en.wikipedia.org/wiki/Rowan_Atkinson,Sketch show/alternative comedians,1955,,44363,70.0,Male,"Consett, County Durham",54.8518781,-1.8333741,394.45
Rowland Rivron,https://en.wikipedia.org/wiki/Rowland_Rivron,Musical comedians,1958,,4944,67.0,Male,Aylesbury,51.8161412,-0.8130383,54.92
Roy 'Chubby' Brown,https://en.wikipedia.org/wiki/Roy_%27Chubby%27_Brown,Stand-up comedians,1945,,10085,80.0,Male,"Grangetown, North Riding of Yorkshire",,,
Rudolph Walker,https://en.wikipedia.org/wiki/Rudolph_Walker,Sitcom comedians,1939,,9147,86.0,Male,Trinidad and Tobago,10.7466905,-61.0840075,7069.27
Rufus Hound,https://en.wikipedia.org/wiki/Rufus_Hound,Stand-up comedians,1979,,14091,46.0,Male,Essex,51.7704679,0.4646698,67.22
Rufus Jones,https://en.wikipedia.org/wiki/Rufus_Jones_(actor),Sketch show/alternative comedians,1975,,6635,50.0,Male,"19 [1]London, England",,,
Russ Abbot,https://en.wikipedia.org/wiki/Russ_Abbot,Stand-up comedians,1947,,8042,78.0,Male,Ellesmere Port,53.2789347,-2.9022507,270.69
Russell Brand,https://en.wikipedia.org/wiki/Russell_Brand,Stand-up comedians,1975,,105919,50.0,Male,"Grays, Essex, England",51.4780898,0.3233131,45.85
Russell Howard,https://en.wikipedia.org/wiki/Russell_Howard,Stand-up comedians,1980,,18570,45.0,Male,Bath,51.3813864,-2.3596963,141.28
Russell Kane,https://en.wikipedia.org/wiki/Russell_Kane,Stand-up comedians,1975,,11007,50.0,Male,London,51.5074456,-0.1277653,16.85
Sacha Baron Cohen,https://en.wikipedia.org/wiki/Sacha_Baron_Cohen,Film,1971,,65710,54.0,Male,"Sacha Noam Baron Cohen   London, England",,,
Sadia Azmat,https://en.wikipedia.org/wiki/Sadia_Azmat,Stand-up comedians,1987,,8309,38.0,Female,"Leyton, London, UK",51.5568183,-0.0051322,26.98
Sally Phillips,https://en.wikipedia.org/wiki/Sally_Phillips,Sketch show/alternative comedians,1970,,14275,55.0,Female,British Hong Kong,22.2762998,114.1649712,9660.23
Sandi Toksvig,https://en.wikipedia.org/wiki/Sandi_Toksvig,Comedy panel game regulars,,,37651,,Female,Copenhagen,55.6867243,12.5700724,975.6
Sanjeev Bhaskar,https://en.wikipedia.org/wiki/Sanjeev_Bhaskar,Sketch show/alternative comedians,1963,,10923,62.0,Male,"Ealing, Middlesex, England",,,
Sara Pascoe,https://en.wikipedia.org/wiki/Sara_Pascoe,Stand-up comedians,1981,,12741,44.0,Female,"Dagenham, Greater London",51.5413271,0.1481142,35.71
Sarah Hadland,https://en.wikipedia.org/wiki/Sarah_Hadland,Sitcom comedians,1971,,5511,54.0,Female,"St Albans, Hertfordshire, England",51.753051,-0.3379675,36.57
Sarah Keyworth,https://en.wikipedia.org/wiki/Sarah_Keyworth,Stand-up comedians,,,6810,,,"Nottingham, England",52.9534193,-1.1496461,179.12
Sarah Millican,https://en.wikipedia.org/wiki/Sarah_Millican,Stand-up comedians,1975,,15195,50.0,Female,"South Shields, Tyne and Wear",54.9987414,-1.4321848,404.53
Sean Lock,https://en.wikipedia.org/wiki/Sean_Lock,Comedy panel game regulars,,,22450,,Male,"Chertsey, Surrey, England",51.392296,-0.5038294,12.57
Seann Walsh,https://en.wikipedia.org/wiki/Seann_Walsh,Stand-up comedians,1985,,9260,40.0,Male,Camden,39.9448402,-75.1198911,5701.99
Sensible Footwear,https://en.wikipedia.org/wiki/Sensible_Footwear,Sketch show/alternative comedians,,,4050,,,"Sensible Footwear was a British comedy group comprising Alex Dallas, Alison Field, and Wendy Vousden. Their shows incorporated elements of stand-up comedy, sketch comedy, and musical comedy.[1]",,,
Shaparak Khorsandi,https://en.wikipedia.org/wiki/Shaparak_Khorsandi,Stand-up comedians,1973,,27351,52.0,Female,"Tehran, Pahlavi Iran",,,
Shazia Mirza,https://en.wikipedia.org/wiki/Shazia_Mirza,Stand-up comedians,1976,,4589,49.0,Female,"Birmingham, West Midlands, England",52.4796992,-1.9026911,159.58
Sheridan Smith,https://en.wikipedia.org/wiki/Sheridan_Smith,Sitcom comedians,1981,,24782,44.0,Female,"Epworth, Lincolnshire",53.5249277,-0.8201895,236.09
Sid Kipper,https://en.wikipedia.org/wiki/Chris_Sugden,Musical comedians,,,2800,,Male,,,,
Simon Amstell,https://en.wikipedia.org/wiki/Simon_Amstell,Comedy panel game regulars,,,12091,,Male,"Gants Hill, London, England",51.576525,0.0648799,32.26
Simon Bird,https://en.wikipedia.org/wiki/Simon_Bird,Sitcom comedians,1984,,10914,41.0,Male,"Guildford, Surrey",51.2356068,-0.5732063,26.96
Simon Brint,https://en.wikipedia.org/wiki/Simon_Brint,Musical comedians,1950,,7197,75.0,Male,High Ham,51.0730788,-2.8145062,177.77
Simon Day,https://en.wikipedia.org/wiki/Simon_Day,Sketch show/alternative comedians,1962,,5527,63.0,Male,Blackheath,51.470342,0.0058096,23.94
Simon Fanshawe,https://en.wikipedia.org/wiki/Simon_Fanshawe,Stand-up comedians,1956,,8232,69.0,Male,"Devizes, England",51.3525027,-1.9958302,116.19
